Timestamp;Offset;Event;Path
2023-02-19 21:17:51.537975;177;"LOOKUP SENT";P2-P4
2023-02-19 21:17:51.538265;177;"LOOKUP SENT";P2-P3
2023-02-19 21:17:51.538518;177;"LOOKUP SENT";P2-P1
2023-02-19 21:17:51.630938;177;"LOOKUP RECEIVED";P2-P3
2023-02-19 21:17:51.669929;177;"LOOKUP RECEIVED";P2-P1
2023-02-19 21:17:51.958554;177;"LOOKUP SENT";P4-P3
2023-02-19 21:17:51.959157;177;"LOOKUP SENT";P4-P1
2023-02-19 21:17:51.959623;177;"LOOKUP SENT";P4-P2
2023-02-19 21:17:52.106368;177;"LOOKUP RECEIVED";P4-P3
2023-02-19 21:17:52.309999;177;"LOOKUP RECEIVED";P3-P2
2023-02-19 21:17:52.310581;177;"LOOKUP RECEIVED";P3-P4
2023-02-19 21:17:52.311022;177;"LOOKUP RECEIVED";P2-P4
2023-02-19 21:17:52.485481;178;"LOOKUP RECEIVED";P4-P1
2023-02-19 21:17:59.081134;184;"LOOKUP SENT";P1-P4
2023-02-19 21:17:59.081738;184;"LOOKUP SENT";P1-P2
2023-02-19 21:17:59.082150;184;"LOOKUP SENT";P1-P3
2023-02-19 21:17:59.143219;184;"LOOKUP RECEIVED";P1-P2
2023-02-19 21:17:59.175228;184;"LOOKUP RECEIVED";P1-P3
2023-02-19 21:17:59.206813;184;"LOOKUP RECEIVED";P1-P4
2023-02-19 21:18:00.969450;186;"LOOKUP SENT";P4-P3
2023-02-19 21:18:00.969679;186;"LOOKUP SENT";P4-P1
2023-02-19 21:18:00.969840;186;"LOOKUP SENT";P4-P2
2023-02-19 21:18:01.119643;186;"LOOKUP RECEIVED";P4-P3
2023-02-19 21:18:01.138221;186;"LOOKUP RECEIVED";P4-P1
2023-02-19 21:18:01.193444;186;"LOOKUP RECEIVED";P4-P2
2023-02-19 21:18:01.263103;186;"LOOKUP SENT";P3-P2
2023-02-19 21:18:01.264081;186;"LOOKUP SENT";P3-P4
2023-02-19 21:18:01.266103;186;"LOOKUP SENT";P3-P1
2023-02-19 21:18:01.325929;187;"LOOKUP RECEIVED";P3-P4
2023-02-19 21:18:01.350899;187;"LOOKUP RECEIVED";P3-P1
2023-02-19 21:18:01.364191;187;"LOOKUP RECEIVED";P3-P2
2023-02-19 21:18:01.548354;187;"LOOKUP SENT";P2-P4
2023-02-19 21:18:01.548638;187;"LOOKUP SENT";P2-P3
2023-02-19 21:18:01.548805;187;"LOOKUP SENT";P2-P1
